User signed up,user13@gmail.com,2024-05-05 17:14:26
User logged in,user13@gmail.com,2024-05-05 17:14:38
User logged in,user13@gmail.com,2024-05-05 17:17:27
Updated lucydonnell@icloud.com status,null,2024-05-05 17:20:17
Updated lucydonnell@icloud.com status to false,user13@gmail.com,2024-05-05 17:23:08
ApplicationAPPLICATION-1714928284279created byuser13@gmail.com,user13@gmail.com,2024-05-05 17:58:04
User signed up,test@example.com,2024-05-05 18:25:35
User logged in,test@example.com,2024-05-05 18:27:50
User signed up,john@example.com,2024-05-05 18:30:09
User signed up,john@example.com,2024-05-06 11:49:22
User signed up,john@example.com,2024-05-06 11:49:43
User signed up,john@example.com,2024-05-06 11:50:29
User logged in,john@example.com,2024-05-06 11:53:36
Application APPLICATION-1714993443086 created by test@gmail.com,test@gmail.com,2024-05-06 12:04:03
Application APPLICATION-1714994711923 created by test@gmail.com,test@gmail.com,2024-05-06 12:25:12
Application APPLICATION-1714994745690 created by test@gmail.com,test@gmail.com,2024-05-06 12:25:45
New visa added,test@gmail.com,2024-05-06 15:52:11
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 15:52:15
New visa added,test@gmail.com,2024-05-06 15:53:17
New visa added,test@gmail.com,2024-05-06 15:54:12
New visa added,test@gmail.com,2024-05-06 15:54:58
New visa added,test@gmail.com,2024-05-06 15:55:40
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 15:58:47
New visa added,test@gmail.com,2024-05-06 15:58:57
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:00:00
New visa added,test@gmail.com,2024-05-06 16:00:16
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:01:07
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:01:54
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:02:12
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:02:55
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:04:50
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:05:07
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:11:03
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:11:29
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:11:55
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:13:14
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:13:55
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:14:19
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:14:52
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:15:45
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:16:49
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:17:37
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:18:03
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:18:23
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:18:49
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] status updated to active,test@gmail.com,2024-05-06 16:19:10
New visa added,test@gmail.com,2024-05-06 16:19:44
Updated test@example.com status to true,null,2024-05-15 12:10:10
User logged in,test@example.com,2024-05-15 12:10:11
User signed up,test@example.com,2024-05-15 12:10:11
User signed up,john@example.com,2024-05-15 12:10:11
User signed up,john@example.com,2024-05-15 12:10:11
User logged in,john@example.com,2024-05-15 12:10:11
New visa added,null,2024-05-15 12:10:11
New visa added,test@gmail.com,2024-05-15 12:10:11
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] deleted,null,2024-05-15 12:10:11
Application APPLICATION-1715771411542 created by test@gmail.com,test@gmail.com,2024-05-15 12:10:11
Application APPLICATION-1715771411641 created by user1,user1,2024-05-15 12:10:11
Updated test@example.com status to true,null,2024-05-15 12:17:17
User logged in,test@example.com,2024-05-15 12:17:17
User signed up,test@example.com,2024-05-15 12:17:17
User signed up,john@example.com,2024-05-15 12:17:17
User signed up,john@example.com,2024-05-15 12:17:17
User logged in,john@example.com,2024-05-15 12:17:17
New visa added,null,2024-05-15 12:17:17
New visa added,test@gmail.com,2024-05-15 12:17:17
Visa Optional[Visa(id=null, name=null, status=null, biometric=null)] deleted,null,2024-05-15 12:17:17
Application APPLICATION-1715771837668 created by test@gmail.com,test@gmail.com,2024-05-15 12:17:17
Application APPLICATION-1715771837724 created by user1,user1,2024-05-15 12:17:17
